ID,imagePos,Foil1_ID,Foil1_Pos,Foil2_ID,Foil2_Pos,ABL (dB),loop,correct,response,reactionTime,timeStamp
Peach,0,,2,,1,80,False,True,LEFT,10.136358499526978,1751601275.4505496
Peach,2,,0,,1,80,False,True,RIGHT,5.36808967590332,1751601282.4345748
Cherry,2,,1,,0,80,False,True,RIGHT,8.277448415756226,1751601292.3296564
Peach,0,,2,,1,80,False,True,LEFT,4.465527296066284,1751601298.4169536
Peach,0,Apple,1,,2,80,False,True,LEFT,4.215371608734131,1751601304.2503092
Pineapple,1,,0,,2,80,False,True,MIDDLE,2.6117141246795654,1751601324.5310981
Peach,1,Raspberry,0,,2,80,False,True,MIDDLE,2.009157657623291,1751601328.1670334
Pineapple,0,,1,,2,80,False,False,MIDDLE,14.896899938583374,1751601344.6940806
Pineapple,1,,2,,0,80,False,True,MIDDLE,2.5116357803344727,1751601352.7259696
Peach,2,Pineapple,1,,0,80,False,True,RIGHT,2.2085983753204346,1751601356.5516186
Peach,1,Raspberry,0,Cherry,2,80,False,True,MIDDLE,2.1098060607910156,1751601360.277064
Peach,1,Grapefruit,0,Tomato,2,80,False,True,MIDDLE,2.161334276199341,1751601364.0569139
Cherry,2,,1,,0,80,False,True,RIGHT,2.2113659381866455,1751601367.8858457
Pineapple,2,,0,,1,80,False,True,RIGHT,4.514978647232056,1751601374.0163393
Pineapple,2,,1,,0,80,False,True,RIGHT,2.2101762294769287,1751601377.8421936
Peach,1,Kiwi,0,Lemon,2,80,False,True,MIDDLE,1.9112117290496826,1751601381.3689942
Kiwi,1,,2,,0,80,False,True,MIDDLE,7.727479934692383,1751601438.8778262
Cherry,2,,0,,1,80,False,True,RIGHT,2.6100456714630127,1751601459.1555254
Pineapple,1,Lemon,2,,0,80,False,True,MIDDLE,1.9593544006347656,1751601462.7321787
Kiwi,2,,1,,0,80,False,True,RIGHT,2.963216781616211,1751601467.3117533
Pineapple,0,Apricot,1,,2,80,False,True,LEFT,1.7078535556793213,1751601470.6362429
Kiwi,2,,1,,0,80,False,True,RIGHT,2.7115025520324707,1751601474.9654784
